"Class";"Name";"CID";"CAS"
NA;"SFR";"SFR";"SFR"
"other";"heptane";"8900";"142-82-5"
"other";"octane";"356";"111-65-9"
"other";"nonane";"8141";"111-84-2"
"other";"carbon dioxide";"280";"124-38-9"
"N ring";"2-isobutyl-3-methoxypyrazine";"32594";"24683-00-9"
"N ring";"pyrrolidine";"31268";"123-75-1"
"other";"11-cis Vaccenyl Acetate";"5363286";"6186-98-7"
"alcohol";"oleyl alcohol";"5284499";"143-28-2"
"alcohol";"cis-vaccenyl alcohol";"5281127";"62972-93-4"
"ester";"oleyl acetate";"5363289";"693-80-1"
"acid";"cis-vaccenic acid";"5282761";"506-17-2"
"other";"trans-methyl vaccenate";"5364432";"6198-58-9"
"other";"hexane";"8058";"110-54-3"
"O ring";"thymol";"6989";"89-83-8"
"O ring";"benzophenone";"3102";"119-61-9"
"alcohol";"isopropyl alcohol";"3776";"67-63-0"
"other";"methional";"18635";"3268-49-3"
"O ring";"menthol";"16666";"89-78-1"
