"ac1A";"ac1B";"ac2A";"ac2B";"ac3A";"ac3B";"ac4";"Or1a";"Or2a";"Or7a";"Or9a";"Or10a";"Or13a";"Or19a";"Or22a";"Or22b";"Or22c";"Or23a";"Or24a";"Or30a";"Or33a";"Or33b";"Or33c";"Or35a";"Or42a";"Or42b";"Or43a";"Or43b";"Or45a";"Or45b";"Or46a";"Or47a";"Or47b";"Or49a";"Or49b";"Or59a";"Or59b";"Or59c";"Or65a";"Or67a";"Or67b";"Or67c";"Or67d";"Or71a";"Or74a";"Or82a";"Or85a";"Or85b";"Or85c";"Or85d";"Or85e";"Or85f";"Or88a";"Or92a";"Or94a";"Or94b";"Or98a";"Gr21a.Gr63a";"ab2B";"ab3B";"ab4B";"ab5B";"pb2A";"Or69a";"ac1";"ac2";"ac3_noOr35a";"Ir31a";"Ir41a";"Ir75a";"Ir75d";"Ir76a";"Ir84a";"Ir92a";"Ir64a.DC4";"Ir64a.DP1m";"ac1BC";"ac2BC";"Or83c"
"YEJRWHAVMIAJKC-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;0.260625582624539;NA;0.243857859435348;0.25572725013329;0.43107451930023;0.116375678708007;NA;0.0260785027593157;0.310554960400859;NA;NA;0.149681359144457;NA;NA;NA;0.262943071500741;NA;0.410376345302968;NA;NA;0.0837390007637675;0.187469994289847;NA;NA;NA;0.0310396338967565;0.958068982935198;NA;0.0921224583331603;NA;0.129076334986267;NA;0.323270089523382;0.496356981688184;NA;0.100621482771886;NA;NA;NA;0.0540933198421931;0.045394151103943;0.3277102204969;NA;NA;NA;0.379362073375013;0.293574392044634;NA;NA;NA;0.184450162995837;NA;NA;NA;NA;NA;NA;NA;0.307891332470893;0.226530612244898;0.248679094162178;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JBFHTYHTHYHCDJ-UHFFFAOYSA-N";0.0091109513815383;0.236842105263158;0.0811761511908519;0.188405797101449;0.298722409566607;0.642545573630287;0.277586758876533;NA;0.332360890116208;0;0.658063263698619;0.187143117468306;NA;0.399116658105726;0.609086195991322;NA;NA;0.221318182810892;NA;NA;NA;0.45844731485174;NA;0.753329622962279;NA;NA;0.209834731432577;0.25774752388996;NA;NA;NA;0.0927347257556468;0.394046525584827;NA;0.0921224583331603;NA;0.138481036728414;NA;0.482799612000358;0.184131110003715;NA;0.35955983096148;NA;NA;NA;0.107182594324472;0.0587453720168675;0.350033834477146;NA;NA;NA;0.802784272588728;0.303659575267693;NA;NA;NA;0.139054955254115;NA;NA;NA;NA;NA;NA;NA;0.393272962483829;0.226530612244898;0.109806353266416;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IPBFYZQJXZJBFQ-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.214356849208394;0.046280509524305;0.306784782441778;0.187143117468306;NA;0.430640781414235;0.305819100529744;NA;NA;0.135603525542514;NA;NA;NA;0.295527112059241;NA;0.238899706473312;NA;NA;0.127872506497851;0.243152938584165;NA;NA;NA;0.0663628426821275;0.487659651168906;NA;0.0791994626833641;NA;0.0538387210490906;NA;0.509387865746521;0.100231699274848;NA;0.0883739743051537;NA;NA;NA;0.241600787910343;0.0320429301910186;0.8002267164121;NA;NA;NA;0.471083101385729;0.112041094029588;NA;NA;NA;0.459624839060917;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IFYYFLINQYPWGJ-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.105383193264229;0.0818090118024735;0.182495045583326;0.123301991790149;NA;0.0523513017121262;0.258584336854694;NA;NA;0.0750403088703513;NA;NA;NA;0.371556540029074;NA;0.0914286112764769;NA;NA;0.0559247102774584;0.0592978982928253;NA;NA;NA;0.0124158535587026;0.884539192262942;NA;0.0985839561580584;NA;0.0388571007416526;NA;0.216917074538731;0.0486839682192118;NA;0.0424458175549065;NA;NA;NA;0.0518088072418272;0.0373834185561884;0.141639885694552;NA;NA;NA;0.0704062071448684;0.344000308159925;NA;NA;NA;0.0428064701418856;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GHBSPIPJMLAMEP-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.113871526612554;0.0704665179982897;0.177891721995976;0.10849978615466;NA;NA;0.249870162534898;NA;NA;0.0833391930482234;NA;NA;NA;0.349833846323408;NA;0.0721577207355117;NA;NA;0.0645285118586059;0.0592978982928253;NA;NA;NA;0.0186237803380539;0.870330777184874;NA;0.072737964858466;NA;0.0632434227912376;NA;0.177034693919487;0.0343651540370907;NA;0.0393839404382234;NA;NA;NA;0.0586623450429247;0.0750723041522418;0.20776914253233;NA;NA;NA;0.104198989342863;0.26331884237546;NA;NA;NA;0.0414092780417832;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BDAGIHXWWSANSR-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.0968948599159042;0.074247349266351;0.251544899393577;0.229559849775995;NA;0.034771337012421;0.288212529542;NA;NA;0.0335458879809907;NA;NA;NA;0.121745562413908;NA;0.120771355279549;NA;NA;0.102653360364089;0.10322242290179;NA;NA;NA;0.0165544714116035;0.461993353738964;NA;0.117968449632753;NA;0.171397492825929;NA;0.270093582031056;0.0429564425463634;NA;0.0761264658384211;NA;NA;NA;0.0518088072418272;0.0427239069213582;0.147651636316168;NA;NA;NA;0.195920017353579;0.273404025598518;NA;NA;NA;0.0358205096413734;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.202764976958525
"QTBSBXVTEAMEQO-UHFFFAOYSA-N";NA;NA;NA;NA;0.706097792889194;0;0.30608594136257;NA;0.184855838981441;0.129727129155041;0.228528281456827;0.0445946931181836;0.0174177791907921;0.0289761141770175;0.286469694678041;NA;NA;0.0916380772260955;NA;NA;NA;0.165190949825242;NA;0.0979078034355952;NA;0.0765987658734171;0.159396439165053;0.118540163154164;NA;NA;NA;0.0227623981909548;0.35536930772048;NA;0.130891445282549;NA;0.166695141954855;NA;0.296681835777219;0.0143188141821211;0.185665007400363;0.0577552031383222;NA;NA;NA;0.158908203218532;0.0750723041522418;0.225804394397178;NA;NA;NA;0.241780531358938;0.222978109483227;0.0790454606389926;NA;NA;0.093659747512394;0.217291499748709;NA;NA;NA;NA;NA;0.23455684870188;0.423027166882277;0.866326530612245;0.214768308594608;0.197081390100797;0.599952164553935;1;0.0828606574181644;0;0.374654466192538;0.0241859737006888;1;0.802428135888502;NA;NA;0.115207373271889
"XBDQKXXYIPTUBI-UHFFFAOYSA-N";0.158595774920372;0.263157894736842;0.296788081958198;0.536231884057971;0.77371302291507;0.0622790368058078;0.348689741421578;0.111111111111111;0.0855692278135153;0.126915438765192;0.279164840917678;0.321086659048246;0.0815413753276116;0.0376689484301227;0.362669997312505;NA;NA;0.0750403088703513;NA;0;0.533333333333333;0.20035416452109;NA;0.0886160446749937;0.19207233730498;0.18444588823597;0.127872506497851;0.0955635527756031;0.0447219468139008;0.0296698426030756;NA;0.0128840509652115;0.744060621469842;0.137246744198541;0.171859450929552;0.0783208103330896;0.166695141954855;NA;0.349858343269544;0.192136901585368;0.137672439624759;0.09449772853852;NA;NA;0.271401658570546;0.147234606224784;0.0507346394691128;0.305386606516654;0.142633101238889;NA;NA;0.287641045364296;0.202807743037111;0.0834356594405624;0.104591636201214;0.0327845931447907;0.0461050374530619;0.235400534968872;NA;NA;NA;NA;NA;0.588630259623993;0.382923673997413;0.666326530612245;0.665297316849462;0;0.521836881128917;0.936795214233497;0.0236110161962687;0.0868612138649129;0.389923877590097;0.124373825923607;0.863028953229399;0.496189024390244;NA;NA;0.0783410138248848
"FERIUCNNQQJTOY-UHFFFAOYSA-N";0.0091109513815383;0.157894736842105;0.194411570542037;0.536231884057971;0.666865192778321;0.0732889897166585;0.45228366614226;NA;0.273358869662301;0.238534499351768;0.693779385501107;0.331795814569224;0.331414973125336;0.034771337012421;0.349016984468134;NA;NA;0.0750403088703513;NA;NA;NA;0.0704737545087165;NA;0.147445499097496;NA;0.0655572399624544;0.11526293343097;0.195128864416034;NA;NA;NA;0.0663628426821275;0.282329271729367;NA;0.171807836058367;NA;0.141918529874473;NA;0.363152470142626;0.524377252223969;0.192672072406913;0.102399612441529;NA;NA;NA;0.166448294350355;0.0400536627387733;0.297945401856573;NA;NA;NA;0.356431816372334;0.253233659152402;0.105422927372319;NA;NA;0.0495567180697532;NA;0.0757247890516388;0.0559168809281017;NA;0.128010262465335;NA;0.513428827215757;0.318240620957309;0.36530612244898;0.980034621297265;0.0579960884609599;0.623774216694571;0.339517076868396;0.0470511856762113;0.0386354295108919;0.579543917329375;0.0428929242329368;0.948879454342984;0.381478658536585;NA;NA;0.0783410138248848
"NQPDZGIKBAWPEJ-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;0.703450908498455;NA;0.214356849208394;0.210357274916555;0.274561517330328;0.19691990199963;0.0798315085897503;0.023180891341614;0.279109353303982;NA;NA;0.121525691940571;NA;NA;NA;0.0704737545087165;NA;0.238899706473312;NA;0.132657374293895;0.127872506497851;0.0955635527756031;0.335495721531579;NA;NA;0.0550606070791906;0.717438444320636;NA;0.111506951807854;NA;0.166695141954855;NA;0.270093582031056;0.824594436535959;0.0861643997970404;0.0730645887217379;NA;NA;NA;0.258728674977221;0.0587453720168675;0.243839646262027;NA;NA;NA;0.241780531358938;0.202807743037111;0.104472597876419;NA;NA;0.0243039837490216;NA;NA;NA;NA;NA;NA;0.603849597135183;0.344113842173351;0.285714285714286;0.442455011691147;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
