"ac1A";"ac1B";"ac2A";"ac2B";"ac3A";"ac3B";"ac4";"Or1a";"Or2a";"Or7a";"Or9a";"Or10a";"Or13a";"Or19a";"Or22a";"Or22b";"Or22c";"Or23a";"Or24a";"Or30a";"Or33a";"Or33b";"Or33c";"Or35a";"Or42a";"Or42b";"Or43a";"Or43b";"Or45a";"Or45b";"Or46a";"Or47a";"Or47b";"Or49a";"Or49b";"Or59a";"Or59b";"Or59c";"Or65a";"Or67a";"Or67b";"Or67c";"Or67d";"Or71a";"Or74a";"Or82a";"Or85a";"Or85b";"Or85c";"Or85d";"Or85e";"Or85f";"Or88a";"Or92a";"Or94a";"Or94b";"Or98a";"Gr21a.Gr63a";"ab2B";"ab4B";"ab5B";"pb2A";"Or69a";"ac1";"ac2";"ac3_noOr35a";"Ir31a";"Ir41a";"Ir75a";"Ir75d";"Ir76a";"Ir84a";"Ir92a";"Ir64a.DC4";"Ir64a.DP1m";"ac1BC";"ac2BC";"Or83c"
"YEJRWHAVMIAJKC-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;0.0842066193318151;NA;0.0467566739769846;0.181502318019932;0.264144979059635;0.0965521280065939;NA;0.0225995097940839;0.140747524542082;NA;NA;0.0285045025030731;NA;NA;NA;0.0559008273365299;NA;0.404189093201907;NA;NA;0.0422556251129022;0.093437134821926;NA;NA;NA;0.0447053233206643;0.261424729919468;NA;0.0249463077195585;NA;0.16568235018681;NA;0.0775078674229424;0.330203500942187;NA;0.110527865317118;NA;NA;NA;0.0247983344864732;0.0285717265186644;0.134324358743603;NA;NA;NA;0.0972284763633085;0.0635744398481716;NA;NA;NA;0.079766802819603;NA;NA;NA;NA;NA;NA;0.214993085604675;0.226530612244898;0.161479708543202;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JBFHTYHTHYHCDJ-UHFFFAOYSA-N";NA;0.0392222594703319;0.0227606235188669;0.0384011815748177;0.0533169450977948;0.449937341645663;0.0793047635163261;NA;0.0598148399615742;0.00957939946634476;0.419357002992051;0.140458006429932;NA;0.345801508871813;0.356623516059668;NA;NA;0.0563679641287056;NA;NA;NA;0.119016448655151;NA;0.61406351555787;NA;NA;0.123735144685859;0.13599966588158;NA;NA;NA;0.0874495253702482;0.115201186170136;NA;0.0249463077195585;NA;0.176336673523977;NA;0.113675573940101;0.119783705821276;NA;0.14888790555009;NA;NA;NA;0.0616345936524801;0.0369751754947422;0.143974245159867;NA;NA;NA;0.215831705102939;0.0657584173732775;NA;NA;NA;0.0700500834686484;NA;NA;NA;NA;NA;NA;0.274613016906812;0.226530612244898;0.0713027284476474;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IPBFYZQJXZJBFQ-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.0423281042951997;0.0288789379880641;0.112424211691917;0.140458006429932;NA;0.371609457194404;0.136146040502849;NA;NA;0.0263118484643752;NA;NA;NA;0.0673945458763624;NA;0.231668159719082;NA;NA;0.067570590907755;0.12439170286531;NA;NA;NA;0.0707745965354494;0.12137344605954;NA;0.0161214751017129;NA;0.0538171688260274;NA;0.119441264636412;0.0696240377639448;NA;0.102480305946644;NA;NA;NA;0.127072714800509;0.0201682775425867;0.436170789303306;NA;NA;NA;0.116740557616072;0.024262844396266;NA;NA;NA;0.300384544967487;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IFYYFLINQYPWGJ-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.0247025022902924;0.0409995036685526;0.0480201459193824;0.103804377702871;NA;0.0619140773233057;0.0704700515194404;NA;NA;0.0131559242321876;NA;NA;NA;0.0925410106790428;NA;0.0247517283243777;NA;NA;0.0289117434983015;0.0276586777297341;NA;NA;NA;0.0235834438595491;0.159832678801494;NA;0.0333177467202343;NA;0.028386850499053;NA;0.0512101056011713;0.0324345544585806;NA;0.0630797692759531;NA;NA;NA;0.0217997059350245;0.0235296571330178;0.0765535415748302;NA;NA;NA;0.0233972894024807;0.074494327473701;NA;NA;NA;0.041860318491965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GHBSPIPJMLAMEP-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.0262273903477901;0.036825806791125;0.046298525065535;0.0875196569880794;NA;NA;0.0541494416640617;NA;NA;0.0153485782708855;NA;NA;NA;0.0855702084918659;NA;0.0151260561982308;NA;NA;0.0333597040365017;0.0276586777297341;NA;NA;NA;0.0305613065326823;0.157190364873334;NA;0.0147838795090662;NA;0.0715427014174704;NA;0.0406686976899755;0.022728404473493;NA;0.062293660591194;NA;NA;NA;0.0307955915893707;0.0458783065876299;0.0968621787716419;NA;NA;NA;0.0328142289077986;0.057022507272854;NA;NA;NA;0.0411505966851209;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BDAGIHXWWSANSR-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.0231793003097508;0.0379610737629908;0.0735187523557932;0.164687275143213;NA;0.0301326797254452;0.11703037416215;NA;NA;0.00219265403869793;NA;NA;NA;0.0119711131462523;NA;0.0470564844150392;NA;NA;0.0489275659202025;0.0508746037622724;NA;NA;NA;0.0282351617568361;0.119055931731118;NA;0.0601189639737345;NA;0.210262028725989;NA;0.0646445810518319;0.0284372855514789;NA;0.0934548911835792;NA;NA;NA;0.0217997059350245;0.0268910367234489;0.078544922743443;NA;NA;NA;0.0570725686603462;0.0592064847979599;NA;NA;NA;0.0384243744521055;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.202764976958525
"QTBSBXVTEAMEQO-UHFFFAOYSA-N";NA;NA;NA;NA;0.305294676356764;0.021541513384896;0.100713994193165;NA;0.0377993882722302;0.0538360581903129;0.0650860714969228;0.0303016362005778;0.0430748047298608;0.025110566437871;0.114546955219987;NA;NA;0.0175412323095834;NA;NA;NA;0.0180302979152612;NA;0.0282261184217973;NA;0.0812269690549142;0.0908335766830273;0.0586132457731185;NA;NA;NA;0.0352609803872148;0.0983551146468878;NA;0.0846179236307743;NA;0.205691884743253;NA;0.0711397415527535;0.00947016853062206;0.169794265469278;0.0765889318747861;NA;NA;NA;0.0853687418647994;0.0458783065876299;0.101970184413691;NA;NA;NA;0.0676007427592109;0.0482865971724306;0.0106867728291448;NA;NA;0.0596793082132105;0.147998177721853;NA;0.00643924908349909;NA;NA;0.222927807486631;0.295389659633314;0.866326530612245;0.13945974828731;0.045645874121453;0.294425065901394;0.644539406916712;0.0828606574181644;0;0.17412413811375;0.00852058970255313;1;0.490997964519858;NA;NA;0.115207373271889
"XBDQKXXYIPTUBI-UHFFFAOYSA-N";NA;0.0435802883003688;0.268619998396326;0.10929567063602;0.339138521005317;0.0614133857723476;0.125755778673411;0.0142162364384587;0.0195648116700345;0.0559103122617267;0.0835522009734445;0.244784771235771;0.110923038663469;0.044708778441578;0.124745872210706;NA;NA;0.0131559242321876;NA;0;0.0341189674523008;0.0542996900048698;NA;0.0288863602832642;0.19376175542861;0.201891863787736;0.067570590907755;0.0470052827568494;0.038740895227711;0.0281290231029633;NA;0.0290270104211174;0.134567393232454;0.0217007632679107;0.245019505681788;0.0382435046420468;0.205691884743253;NA;0.0837620486826738;0.124687187871681;0.138414995386622;0.106601150379676;NA;NA;0.14157140141738;0.0841722884840228;0.0319331061090955;0.12474597675786;0.125488946328411;NA;NA;0.0776796972190512;0.0439186421222188;0.0112589652028293;0.0962302102845927;0.0150215511125146;0.0432377622027221;0.162798157342658;NA;0.0218455515618219;NA;NA;0.487299465240642;0.267386358567159;0.666326530612245;0.432010648829864;0;0.256090180506961;0.597833891533303;0.0236110161962687;0.00502641526912379;0.184253992441934;0.0438162363668509;0.865362249435589;0.303613233505257;NA;NA;0.0783410138248848
"FERIUCNNQQJTOY-UHFFFAOYSA-N";NA;0.0261481729802213;0.14185794987931;0.10929567063602;0.268541199758845;0.0676598696944326;0.170629724778057;NA;0.0511259927495415;0.159306821154536;0.450898719747417;0.290984240756996;0.231377813103847;0.0301326797254452;0.241725798980569;NA;NA;0.0131559242321876;NA;NA;NA;0.00558496487694183;NA;0.0655758638598615;NA;0.083008655580991;0.0574235854924645;0.0973064558273491;NA;NA;NA;0.0707745965354494;0.102214481466134;NA;0.151269356231597;NA;0.217759800346655;NA;0.0868500231121689;0.346905973121409;0.175406909300357;0.112834771007575;NA;NA;NA;0.172563068770126;0.0252103469282333;0.106460324177983;NA;NA;NA;0.0923772414570562;0.0548385297477482;0.016366547259496;NA;NA;0.0635646807199101;NA;0.0349058205502693;0.0258247089338558;0.00702539814974612;NA;0.431149732620321;0.222219743944328;0.36530612244898;0.636385239951541;0.0134324308960459;0.306115680063321;0.224471878266339;0.0470511856762113;0.00223572414178693;0.267441724647016;0.0151109487281525;0.949750290757337;0.233423077372321;NA;NA;0.0783410138248848
"NQPDZGIKBAWPEJ-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;0.247511720638743;NA;0.0423281042951997;0.151419273379231;0.0818863690737079;0.148160946442126;0.105380573205111;0.0200884531502968;0.132587334928427;NA;NA;0.0241191944256772;NA;NA;NA;0.00558496487694183;NA;0.231668159719082;NA;0.14101181957905;0.067570590907755;0.0470052827568494;0.290626985700906;NA;NA;0.0636495464277677;0.125459122656069;NA;0.0506703929201012;NA;0.205691884743253;NA;0.0646445810518319;0.499082857469114;0.102612589130561;0.090984048993355;NA;NA;NA;0.146344283727379;0.0369751754947422;0.106967364815221;NA;NA;NA;0.0676007427592109;0.0439186421222188;0.0139563348142965;NA;NA;0.0337363616040561;NA;NA;0.0138717567009335;NA;NA;0.498663101604278;0.24028638979346;0.285714285714286;0.287308052862579;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
