"Class";"Name";"CID";"CAS";"Goldman.2005.WT";"Bruyne.1999.WT"
"46";"terpene";"geraniol";637566;"106-24-1";NA;NA
"47";"terpene";"nerol";643820;"106-25-2";NA;NA
"48";"terpene";"linalool";6549;"78-70-6";NA;NA
"49";"terpene";"beta-citronellol";8842;"106-22-9";NA;NA
"50";"terpene";"linalool oxide";22310;"60047-17-8";NA;NA
"51";"terpene";"(R)-(-)-carvone";439570;"6485-40-1";NA;NA
"52";"terpene";"(S)-(+)-carvone";16724;"2244-16-8";NA;NA
"53";"terpene";"1,8-cineole";2758;"470-82-6";NA;NA
"54";"terpene";"1,4-cineol";10106;"470-67-7";NA;NA
"55";"terpene";"citral";638011;"5392-40-5";NA;NA
"56";"terpene";"(S)-(-)-citronellal";443157;"5949-05-3";NA;NA
"57";"terpene";"(1R)-(-)-fenchone";14525;"7787-20-4";-28;NA
"58";"terpene";"(R)-(+)-limonene";440917;"5989-27-5";NA;NA
"59";"terpene";"(-)-menthone";26447;"14073-97-3";NA;NA
"60";"terpene";"(1R)-(-)-myrtenal";61130;"564-94-3";NA;NA
"61";"terpene";"(+)-alpha-pinene";82227;"7785-70-8";NA;NA
"62";"terpene";"(R)-(+)-pulegon";442495;"89-82-7";NA;NA
"63";"terpene";"(-)-alpha-thujone";261491;"546-80-5";NA;NA
"64";"terpene";"alpha-bisabolol";10586;"23089-26-1";NA;NA
"65";"terpene";"E,E-farnesol";445070;"106-28-5";NA;NA
"66";"terpene";"alpha-ionone";5282108;"127-41-3";NA;NA
"67";"terpene";"beta-ionone";638014;"79-77-6";NA;NA
"68";"terpene";"L-limonen";439250;"5989-54-8";NA;NA
"69";"aldehyde";"acetaldehyde";177;"75-07-0";NA;NA
"70";"aldehyde";"propanal";527;"123-38-6";NA;NA
"71";"aldehyde";"butanal";261;"123-72-8";NA;NA
"72";"aldehyde";"pentanal";8063;"110-62-3";NA;NA
"73";"aldehyde";"hexanal";6184;"66-25-1";NA;NA
"74";"aldehyde";"E2-hexenal";5281168;"6728-26-3";-16;12
"75";"O ring";"furfural";7362;"98-01-1";NA;NA
"76";"aldehyde";"2-propenal";7847;"107-02-8";NA;NA
"77";"aldehyde";"octanal";454;"124-13-0";NA;NA
"78";"aldehyde";"decanal";8175;"112-31-2";NA;NA
"79";"aldehyde";"heptanal";8130;"111-71-7";NA;NA
"80";"aldehyde";"E2-octenal";5283324;"2548-87-0";NA;NA
"81";"aldehyde";"nonanal";31289;"124-19-6";NA;NA
"82";"aldehyde";"E2-heptenal";5283316;"18829-55-5";NA;NA
"83";"ketone";"acetone";180;"67-64-1";NA;NA
"84";"ketone";"2-butanone";6569;"78-93-3";NA;NA
"85";"ketone";"2-pentanone";7895;"107-87-9";NA;NA
"86";"ketone";"2-heptanone";8051;"110-43-0";-22;NA
"87";"ketone";"6-methyl-5-hepten-2-one";9862;"110-93-0";NA;NA
"88";"ketone";"2,3-butanedione";650;"431-03-8";NA;NA
"89";"ketone";"3-hydroxy-2-butanone";179;"513-86-0";NA;NA
"90";"ketone";"3-penten-2-one";12248;"625-33-2";NA;NA
"91";"ketone";"2-hexanone";11583;"591-78-6";NA;NA
"92";"ketone";"3-hexanone";11509;"589-38-8";NA;NA
"93";"ketone";"cyclohexanone";7967;"108-94-1";-29;12
"94";"ketone";"2-octanone";8093;"111-13-7";NA;NA
"95";"ketone";"2-methyl-3-heptanone";25611;"13019-20-0";NA;NA
"96";"ketone";"nonanone";13187;"821-55-6";NA;NA
"97";"ketone";"3-heptanone";7802;"106-35-4";NA;NA
"98";"ketone";"4-octanone";11516;"589-63-9";NA;NA
"99";"arom";"phenethyl alcohol";6054;"60-12-8";NA;NA
