"Class";"Name";"CID";"CAS";"Hallem.2006.EN";"Hallem.2004.EN";"Hallem.2004.WT";"Bruyne.2001.WT";"Dobritsa.2003.EN";"Stensmyr.2003.WT";"Schmuker.2007.TR";"Pelz.2006.ALEC50";"Pelz.2006.AntEC50";"Pelz.2005.ALnmr";"Pelz.2005.Antnmr"
"terpene";"1,4-cineol";"10106";"470-67-7";NA;NA;NA;NA;NA;NA;3;NA;NA;NA;NA
"terpene";"citral";"638011";"5392-40-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.287;0.323
"terpene";"(S)-(-)-citronellal";"443157";"5949-05-3";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.072;0.206
"terpene";"(1R)-(-)-fenchone";"14525";"7787-20-4";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.065;-0.084
"terpene";"(R)-(+)-limonene";"440917";"5989-27-5";NA;NA;NA;NA;NA;NA;0;NA;NA;0.166;-0.013
"terpene";"(-)-menthone";"26447";"14073-97-3";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.408;0.008
"terpene";"(1R)-(-)-myrtenal";"61130";"564-94-3";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.496;0.136
"terpene";"(+)-alpha-pinene";"82227";"7785-70-8";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.061;0.038
"terpene";"(R)-(+)-pulegon";"442495";"89-82-7";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.734;0.076
"terpene";"(-)-alpha-thujone";"261491";"546-80-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.283;0.471
"terpene";"alpha-bisabolol";"10586";"23089-26-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.114;0.152
"terpene";"E,E-farnesol";"445070";"106-28-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.144;0.195
"terpene";"alpha-ionone";"5282108";"127-41-3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"terpene";"beta-ionone";"638014";"79-77-6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"terpene";"L-limonen";"439250";"5989-54-8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"aldehyde";"acetaldehyde";"177";"75-07-0";75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"aldehyde";"propanal";"527";"123-38-6";40;NA;NA;NA;NA;NA;NA;NA;NA;0.557;0.2
"aldehyde";"butanal";"261";"123-72-8";57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"aldehyde";"pentanal";"8063";"110-62-3";73;NA;NA;NA;NA;NA;NA;2.91;NA;NA;0.58
"aldehyde";"hexanal";"6184";"66-25-1";143;NA;NA;NA;NA;NA;NA;2.83;NA;NA;0.56
"aldehyde";"E2-hexenal";"5281168";"6728-26-3";53;30;35;15;23;NA;7;NA;NA;0.32;-0.006
"O ring";"furfural";"7362";"98-01-1";33;NA;NA;NA;NA;0;NA;NA;NA;0.129;0.103
"aldehyde";"2-propenal";"7847";"107-02-8";36;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"aldehyde";"octanal";"454";"124-13-0";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.335;-0.013
"aldehyde";"decanal";"8175";"112-31-2";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.229;-0.009
"aldehyde";"heptanal";"8130";"111-71-7";NA;NA;NA;NA;NA;NA;NA;4.81;3.81;NA;NA
"aldehyde";"E2-octenal";"5283324";"2548-87-0";NA;NA;NA;NA;NA;NA;24;NA;NA;NA;NA
"aldehyde";"nonanal";"31289";"124-19-6";NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA
"aldehyde";"E2-heptenal";"5283316";"18829-55-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ketone";"acetone";"180";"67-64-1";42;NA;NA;NA;NA;NA;5;2.16;NA;NA;NA
"ketone";"2-butanone";"6569";"78-93-3";88;NA;NA;NA;NA;NA;NA;3.09;NA;NA;NA
"ketone";"2-pentanone";"7895";"107-87-9";152;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ketone";"2-heptanone";"8051";"110-43-0";115;83;142;47;78;NA;37;3.08;2.15;NA;NA
"ketone";"6-methyl-5-hepten-2-one";"9862";"110-93-0";89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ketone";"2,3-butanedione";"650";"431-03-8";52;83;111;36;64;NA;25;2.91;NA;NA;NA
"ketone";"3-hydroxy-2-butanone";"179";"513-86-0";NA;NA;NA;NA;NA;0;NA;2.5;NA;NA;NA
"ketone";"3-penten-2-one";"12248";"625-33-2";NA;NA;NA;NA;NA;0;NA;3.5;3.02;NA;NA
"ketone";"2-hexanone";"11583";"591-78-6";NA;NA;NA;NA;NA;NA;NA;3.03;NA;NA;NA
"ketone";"3-hexanone";"11509";"589-38-8";NA;NA;NA;NA;NA;NA;NA;3.12;2.4;NA;NA
"ketone";"cyclohexanone";"7967";"108-94-1";NA;NA;NA;NA;NA;NA;7;2.41;NA;NA;NA
"ketone";"2-octanone";"8093";"111-13-7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ketone";"2-methyl-3-heptanone";"25611";"13019-20-0";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ketone";"nonanone";"13187";"821-55-6";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.109;0.256
"ketone";"3-heptanone";"7802";"106-35-4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"ketone";"4-octanone";"11516";"589-63-9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"phenethyl alcohol";"6054";"60-12-8";50;NA;NA;NA;NA;0;NA;NA;NA;0.561;0.039
"arom";"benzyl alcohol";"244";"100-51-6";44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"methyl salicylate";"4133";"119-36-8";2;19;31;18;8;NA;8;NA;NA;0.153;0.315
"arom";"methyl benzoate";"7150";"93-58-3";47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"ethyl benzoate";"7165";"93-89-0";53;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"phenethyl acetate";"7654";"103-45-7";44;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"benzaldehyde";"240";"100-52-7";36;NA;NA;NA;NA;NA;-1;NA;NA;0.057;-0.294
"arom";"phenylacetaldehyde";"998";"122-78-1";48;NA;NA;NA;NA;0;1;NA;NA;0.065;0.166
"arom";"acetophenone";"7410";"98-86-2";36;NA;NA;NA;NA;NA;-3;NA;NA;0.101;0.107
"arom";"ethyl cinnamate";"637758";"103-36-6";16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"2-methylphenol";"335";"95-48-7";13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"4-ethylguaiacol";"62465";"2785-89-9";11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"arom";"eugenol";"3314";"97-53-0";11;NA;NA;NA;NA;NA;NA;NA;NA;0.261;0.274
"arom";"salicyl aldehyde";"6998";"90-02-8";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.265;0.166
"arom";"2-hydroxy-anisole";"460";"90-05-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.224;-0.047
"arom";"4-propenyl anisole";"637563";"104-46-1";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.236;0.019
"arom";"4-methoxybenzaldehyde";"31244";"123-11-5";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.274;-0.032
"arom";"4-isopropylbenzaldehyde";"326";"122-03-2";NA;NA;NA;NA;NA;NA;-3;NA;NA;0.246;-0.009
"arom";"4-methoxybenzene";"7519";"100-66-3";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.108;-0.38
"arom";"4-allyl-1,2-dimethoxybenzene";"7127";"93-15-2";NA;NA;NA;NA;NA;NA;-3;NA;NA;0.203;0.339
"arom";"2,4,5-trimethoxy-1-propenylbenzene";"636822";"2883-98-9";NA;NA;NA;NA;NA;NA;NA;NA;NA;0.298;0.316
