"Class";"Name";"CID";"CAS";"Hallem.2006.EN";"Hallem.2004.EN";"Dobritsa.2003.EN"
NA;"SFR";NA;"SFR";13;NA;NA
"other";"water";"962";"7732-18-5";NA;NA;NA
"amine";"ammonium hydroxide";"14923";"1336-21-6";28;NA;NA
"amine";"putrescine";"1045";"110-60-1";37;81;NA
"amine";"cadaverine";"273";"462-94-2";42;NA;NA
"amine";"ammonia";"222";"7664-41-7";NA;NA;NA
"amine";"ethanolamine";"700";"141-43-5";NA;NA;NA
"amine";"heptylamine";"8127";"111-68-2";NA;NA;NA
"amine";"isoamylamine";"7894";"107-85-7";NA;NA;NA
"amine";"dimethylamine";"674";"124-40-3";NA;NA;NA
"O ring";"gamma-butyrolactone";"7302";"96-48-0";60;NA;NA
"O ring";"gamma-hexalactone";"12756";"695-06-7";66;NA;NA
"O ring";"gamma-octalactone";"7704";"104-50-7";187;NA;NA
"O ring";"gamma-decalactone";"12813";"706-14-9";26;NA;NA
"O ring";"delta-decalactone";"12810";"705-86-2";37;NA;NA
"acid";"methanoic acid";"284";"64-18-6";27;NA;NA
"acid";"acetic acid";"176";"64-19-7";40;NA;NA
"acid";"propanoic acid";"1032";"79-09-4";54;NA;NA
"acid";"butyric acid";"264";"107-92-6";52;NA;NA
"acid";"pentanoic acid";"7991";"109-52-4";43;NA;NA
"acid";"hexanoic acid";"8892";"142-62-1";53;NA;NA
"acid";"heptanoic acid";"8094";"111-14-8";50;NA;NA
"acid";"octanoic acid";"379";"124-07-2";81;NA;NA
"acid";"nonanoic acid";"8158";"112-05-0";56;NA;NA
"acid";"linoleic acid";"5280450";"60-33-3";71;NA;NA
"acid";"isobutyric acid";"6590";"79-31-2";48;NA;NA
"acid";"isopentanoic acid";"10430";"503-74-2";33;NA;NA
"acid";"pyruvic acid";"1060";"127-17-3";36;NA;NA
"acid";"2-ethylhexanoic acid";"8697";"149-57-5";112;NA;NA
"acid";"lactic acid";"612";"50-21-5";28;NA;NA
"sulfid";"3-methylthio-1-propanol";"10448";"505-10-2";59;NA;NA
"sulfid";"dimethyl sulfide";"1068";"75-18-3";45;NA;NA
"sulfid";"dipropyldisulphide";"12377";"629-19-6";NA;NA;NA
"sulfid";"propanethiol";"7848";"107-03-9";NA;119;NA
"terpene";"terpinolene";"11463";"586-62-9";49;NA;NA
