"","ac1A","ac1B","ac2A","ac2B","ac3A","ac3B","ac4","Or1a","Or2a","Or7a","Or9a","Or10a","Or13a","Or19a","Or22a","Or22b","Or22c","Or23a","Or24a","Or30a","Or33a","Or33b","Or33c","Or35a","Or42a","Or42b","Or43a","Or43b","Or45a","Or45b","Or46a","Or47a","Or47b","Or49a","Or49b","Or59a","Or59b","Or59c","Or65a","Or67a","Or67b","Or67c","Or67d","Or71a","Or74a","Or82a","Or85a","Or85b","Or85c","Or85d","Or85e","Or85f","Or88a","Or92a","Or94a","Or94b","Or98a","Gr21a.Gr63a","ab2B","ab4B","ab5B","pb2A","Or69a","ac1","ac2","ac3_noOr35a","Ir31a","Ir41a","Ir75a","Ir75d","Ir76a","Ir84a","Ir92a","Ir64a.DC4","Ir64a.DP1m","ac1BC","ac2BC","Or83c"
"YEJRWHAVMIAJKC-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,0.0843292163289373,NA,0.0482353275968048,0.223108263547913,0.226697305894361,0.0918353383508068,NA,0.0228926232883365,0.150075417676561,NA,NA,0.0279017755523154,NA,NA,NA,0.0508172667650033,NA,0.418388562165953,NA,NA,0.0436794953937599,0.103987244163534,NA,NA,NA,0.0468380168310303,0.255745003483718,NA,0.0270431289791959,NA,0.122469549743881,NA,0.0790822443208873,0.34344759720055,NA,0.11553040021899,NA,NA,NA,0.0346466361732052,0.0308997220024384,0.1384957211794,NA,NA,NA,0.102806228143123,0.0603937569214624,NA,NA,NA,0.0643294394340287,NA,NA,NA,NA,NA,NA,0.214993085604675,0.226530612244898,0.161479708543202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JBFHTYHTHYHCDJ-UHFFFAOYSA-N",NA,0.0392222594703319,0.0227710820109049,0.0384011815748177,0.0534543178182373,0.464761308920076,0.0794202238678013,NA,0.0633346977266342,0,0.373229715980748,0.134799804177586,NA,0.35028652157814,0.42331086666925,NA,NA,0.0614206549562644,NA,NA,NA,0.0939285050549516,NA,0.629509626503803,NA,NA,0.129208547711817,0.143090292453585,NA,NA,NA,0.0906251056689669,0.121041941675438,NA,0.0270431289791959,NA,0.133512534567337,NA,0.117686462945966,0.136135462169758,NA,0.154508619718046,NA,NA,NA,0.0422305495974897,0.0399878755325673,0.148769810546047,NA,NA,NA,0.21568124475991,0.0624653974294564,NA,NA,NA,0.0577244099388046,NA,NA,NA,NA,NA,NA,0.274613016906812,0.226530612244898,0.0713027284476474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IPBFYZQJXZJBFQ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,NA,NA,0.0435366537582299,0.050478808868856,0.154334119568247,0.134799804177586,NA,0.37642919653778,0.141977541552708,NA,NA,0.0257554851252142,NA,NA,NA,0.0572191138964548,NA,0.238327728526822,NA,NA,0.0712998336529252,0.132425824738117,NA,NA,NA,0.0735425088279404,0.140314923922078,NA,0.0219860200147615,NA,0.0275846417805622,NA,0.123912689063106,0.0840008904332246,NA,0.107459714735142,NA,NA,NA,0.0622112483884624,0.0218115684723094,0.44647742370441,NA,NA,NA,0.124273190544177,0.0231042277775713,NA,NA,NA,0.291449561868508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IFYYFLINQYPWGJ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,NA,NA,0.026668428966579,0.0810705356736479,0.0718247649856392,0.0988807328074671,NA,0.0627170970220962,0.0246250478271238,NA,NA,0.0128777425626071,NA,NA,NA,0.0732770672589103,NA,0.0250151497888895,NA,NA,0.0298859705325726,0.0435552604425447,NA,NA,NA,0.0252062491843502,0.211280413474188,NA,0.0294814702691951,NA,0.0220731642916562,NA,0.0516633864569613,0.0446352855968997,NA,0.0622621116788292,NA,NA,NA,0.0341253471667612,0.025446829884361,0.0769037883013596,NA,NA,NA,0.0195109802336013,0.0707519594614322,NA,NA,NA,0.0318178068685536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GHBSPIPJMLAMEP-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,NA,NA,0.0283177280977136,0.0718519238898181,0.0685361512769514,0.0830809636262321,NA,NA,0.0127545721121084,NA,NA,0.0150240329897083,NA,NA,NA,0.0685119038814493,NA,0.0152870359820991,NA,NA,0.0344838121529683,0.0435552604425447,NA,NA,NA,0.0323508041244563,0.208584638601195,NA,0.0192190431389804,NA,0.039461632073448,NA,0.0408970155426595,0.0340823261164915,NA,0.0614643004940033,NA,NA,NA,0.0357312424080946,0.0476983399399405,0.0986066040340698,NA,NA,NA,0.0298462427862941,0.0541788353974805,NA,NA,NA,0.029518500995418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BDAGIHXWWSANSR-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,NA,NA,0.0250214821959583,0.0749242562525968,0.119083338318837,0.1589408656581,NA,0.030523497717782,0.104609675940334,NA,NA,0.00214629042710119,NA,NA,NA,0.0253196295383738,NA,0.0475572853261,NA,NA,0.0505762578243536,0.064884195873482,NA,NA,NA,0.0299690840905768,0.135480687907966,NA,0.0372342428308454,NA,0.170821536454908,NA,0.0655841898835207,0.0403977128072207,NA,0.0984199696950927,NA,NA,NA,0.0341253471667612,0.0290820912964126,0.0790362249117895,NA,NA,NA,0.0579353777139953,0.0562504759054746,NA,NA,NA,0.0250406775721527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202764976958525
"QTBSBXVTEAMEQO-UHFFFAOYSA-N",NA,NA,NA,NA,0.305244713117269,0.0219859834210083,0.100860624391055,NA,0.0389718276828056,0.110177141553128,0.103746907170799,0.0250756035724454,0.0596281798711081,0.0254362480981516,0.099178944972826,NA,NA,0.0171703234168095,NA,NA,NA,0.0328687525999912,NA,0.0285265162542157,NA,0.0842225878472005,0.0952816373261105,0.0719938410171278,NA,NA,NA,0.0371641522409466,0.111114394838335,NA,0.043820946113681,NA,0.165612689270087,NA,0.0723814517639038,0.0200455262805613,0.169867500039204,0.0815530336368362,NA,NA,NA,0.046342488634845,0.0476983399399405,0.104052371794445,NA,NA,NA,0.0698415101079225,0.0458922733655047,0.0207502047105364,NA,NA,0.0505667897843649,0.150963729854778,NA,0.00675410604604211,NA,NA,0,0.295389659633314,0.866326530612245,0.13945974828731,0.045645874121453,0.294425065901394,0.644234722765712,0.0828606574181644,0,0.173990274817468,0.00852058970255313,1,0.490997964519858,NA,NA,0.115207373271889
"XBDQKXXYIPTUBI-UHFFFAOYSA-N",NA,0.0435802883003688,0.268743429114828,0.10929567063602,0.339901888501556,0.0628109681568975,0.12593886737782,0.0142162364384587,0.0222861005118336,0.134032855901261,0.136973586893031,0.240705861701877,0.136993585415857,0.0452886470490027,0.140606715355323,NA,NA,0.0128777425626071,NA,0,0.0341189674523008,0.0372184102987843,NA,0.0291937847668234,0.182762921487769,0.204197570687075,0.0712998336529252,0.0613293733016591,0.0387512227337981,0.0281606860661951,NA,0.0309057518707551,0.147279489827221,0.0216254563829237,0.271919031137429,0.038242926538204,0.165612689270087,NA,0.0856949276306207,0.141132515706646,0.138474688915154,0.111591102272011,NA,NA,0.141403984628611,0.0448632261490583,0.0345349834144899,0.128301731676038,0.124736725601249,NA,NA,0.0811273173611371,0.0417489923495169,0.0219459478159245,0.0964227728398998,0.0150206868603994,0.0364237373602793,0.166060267931959,NA,0.0219728215009841,NA,NA,0,0.267386358567159,0.666326530612245,0.432010648829864,0,0.256090180506961,0.597551285831133,0.0236110161962687,0.00502641526912379,0.184112341508017,0.0438162363668509,0.865362249435589,0.303613233505257,NA,NA,0.0783410138248848
"FERIUCNNQQJTOY-UHFFFAOYSA-N",NA,0.0261481729802213,0.141923133517101,0.10929567063602,0.269155168779353,0.0692429864876247,0.170878145769703,NA,0.0530860236566135,0.207026702615527,0.413214745239889,0.278241933369874,0.338086879766933,0.030523497717782,0.236264081413764,NA,NA,0.0128777425626071,NA,NA,NA,0.0161147264487408,NA,0.0662737581603469,0.0595448289358108,0.101270025153241,0.0608408232517425,0.107542066735357,NA,NA,NA,0.0735425088279404,0.0987152367280414,NA,0.0744501620529523,NA,0.164214108665738,NA,0.0889706644175792,0.360562040774912,0.175482561797908,0.117322793315432,NA,0.075052008497116,NA,0.0521945294611442,0.0272644605903868,0.109648209697589,NA,NA,NA,0.0974461363936061,0.0521071948894866,0.0287690265439498,NA,NA,0.0527545298513253,NA,0.0152086783070701,0.0258792719232341,0.00718030611383437,NA,0,0.222219743944328,0.36530612244898,0.636385239951542,0.0134324308960459,0.306115680063321,0.22436576679679,0.0470511856762113,0.00223572414178693,0.267236120580789,0.0151109487281525,0.949750290757337,0.233423077372321,NA,NA,0.0783410138248848
"NQPDZGIKBAWPEJ-UHFFFAOYSA-N",NA,NA,NA,NA,NA,NA,0.247872074657746,NA,0.0435366537582299,0.185918752893223,0.134029518742326,0.139637706196662,0.130943143651559,0.0203489984785213,0.13387684613562,NA,NA,0.0236091946981131,NA,NA,NA,0.0161147264487408,NA,0.238327728526822,NA,0.140635405163443,0.0712998336529252,0.0613293733016591,0.290704460729458,NA,NA,0.0662435947506224,0.13553930561402,NA,0.0344999230735288,NA,0.165612689270087,NA,0.0655841898835207,0.520594283766527,0.102656863413681,0.0959470997044002,NA,NA,NA,0.0772952662612773,0.0399878755325673,0.109376455979661,NA,NA,NA,0.0698415101079225,0.0417489923495169,0.0260141265435808,NA,NA,0.0210909142870051,NA,NA,0.0149114110462733,NA,NA,0,0.24028638979346,0.285714285714286,0.287308052862579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
