"Class";"Name";"CID";"CAS";"Hallem.2006.EN";"Hallem.2004.EN";"Hallem.2004.WT";"Bruyne.2001.WT";"Dobritsa.2003.EN";"Stensmyr.2003.WT";"Schmuker.2007.TR"
"aldehyde";"acetaldehyde";"177";"75-07-0";39;NA;NA;NA;NA;NA;NA
"aldehyde";"propanal";"527";"123-38-6";13;NA;NA;NA;NA;NA;NA
"aldehyde";"butanal";"261";"123-72-8";12;NA;NA;NA;NA;NA;NA
"aldehyde";"pentanal";"8063";"110-62-3";20;NA;NA;NA;NA;NA;NA
"aldehyde";"hexanal";"6184";"66-25-1";42;NA;NA;NA;NA;NA;NA
"aldehyde";"E2-hexenal";"5281168";"6728-26-3";6;19;15;13;15;NA;7
"O ring";"furfural";"7362";"98-01-1";48;NA;NA;NA;NA;34;NA
"aldehyde";"2-propenal";"7847";"107-02-8";7;NA;NA;NA;NA;NA;NA
"aldehyde";"octanal";"454";"124-13-0";NA;NA;NA;NA;NA;NA;NA
"aldehyde";"decanal";"8175";"112-31-2";NA;NA;NA;NA;NA;NA;NA
"aldehyde";"heptanal";"8130";"111-71-7";NA;NA;NA;NA;NA;NA;NA
"aldehyde";"E2-octenal";"5283324";"2548-87-0";NA;NA;NA;NA;NA;NA;7
"aldehyde";"nonanal";"31289";"124-19-6";NA;NA;NA;NA;NA;NA;7
"aldehyde";"E2-heptenal";"5283316";"18829-55-5";NA;NA;NA;NA;NA;NA;NA
"ketone";"acetone";"180";"67-64-1";14;NA;NA;NA;NA;NA;3
"ketone";"2-butanone";"6569";"78-93-3";21;NA;NA;NA;NA;NA;NA
"ketone";"2-pentanone";"7895";"107-87-9";33;NA;NA;NA;NA;NA;NA
"ketone";"2-heptanone";"8051";"110-43-0";31;18;15;11;9;NA;6
"ketone";"6-methyl-5-hepten-2-one";"9862";"110-93-0";22;NA;NA;NA;NA;NA;NA
"ketone";"2,3-butanedione";"650";"431-03-8";36;35;0;11;9;NA;8
"ketone";"3-hydroxy-2-butanone";"179";"513-86-0";NA;NA;NA;NA;NA;0;NA
"ketone";"3-penten-2-one";"12248";"625-33-2";NA;NA;NA;NA;NA;0;NA
"ketone";"2-hexanone";"11583";"591-78-6";NA;NA;NA;NA;NA;NA;NA
"ketone";"3-hexanone";"11509";"589-38-8";NA;NA;NA;NA;NA;NA;NA
"ketone";"cyclohexanone";"7967";"108-94-1";NA;NA;NA;NA;NA;NA;-2
"ketone";"2-octanone";"8093";"111-13-7";NA;NA;NA;NA;NA;NA;NA
"ketone";"2-methyl-3-heptanone";"25611";"13019-20-0";NA;NA;NA;NA;NA;NA;NA
"ketone";"nonanone";"13187";"821-55-6";NA;NA;NA;NA;NA;NA;NA
"ketone";"3-heptanone";"7802";"106-35-4";NA;NA;NA;NA;NA;NA;NA
"ketone";"4-octanone";"11516";"589-63-9";NA;NA;NA;NA;NA;NA;NA
"arom";"phenethyl alcohol";"6054";"60-12-8";-2;NA;NA;NA;NA;0;NA
"arom";"benzyl alcohol";"244";"100-51-6";9;NA;NA;NA;NA;NA;NA
"arom";"methyl salicylate";"4133";"119-36-8";272;250;186;183;271;NA;193
"arom";"methyl benzoate";"7150";"93-58-3";279;NA;NA;NA;NA;NA;NA
"arom";"ethyl benzoate";"7165";"93-89-0";282;NA;NA;NA;NA;NA;NA
"arom";"phenethyl acetate";"7654";"103-45-7";2;NA;NA;NA;NA;NA;NA
"arom";"benzaldehyde";"240";"100-52-7";137;76;51;NA;NA;NA;55
"arom";"phenylacetaldehyde";"998";"122-78-1";78;NA;NA;NA;NA;0;82
"arom";"acetophenone";"7410";"98-86-2";268;203;182;NA;NA;NA;163
"arom";"ethyl cinnamate";"637758";"103-36-6";7;NA;NA;NA;NA;NA;NA
"arom";"2-methylphenol";"335";"95-48-7";-3;NA;NA;NA;NA;NA;NA
"arom";"4-ethylguaiacol";"62465";"2785-89-9";16;NA;NA;NA;NA;NA;NA
"arom";"eugenol";"3314";"97-53-0";78;NA;NA;NA;NA;NA;NA
"arom";"salicyl aldehyde";"6998";"90-02-8";NA;NA;NA;NA;NA;NA;NA
"arom";"2-hydroxy-anisole";"460";"90-05-1";NA;NA;NA;NA;NA;NA;NA
"arom";"4-propenyl anisole";"637563";"104-46-1";NA;NA;NA;NA;NA;NA;NA
"arom";"4-methoxybenzaldehyde";"31244";"123-11-5";NA;NA;NA;NA;NA;NA;NA
"arom";"4-isopropylbenzaldehyde";"326";"122-03-2";NA;NA;NA;NA;NA;NA;19
"arom";"4-methoxybenzene";"7519";"100-66-3";NA;NA;NA;NA;NA;NA;NA
"arom";"4-allyl-1,2-dimethoxybenzene";"7127";"93-15-2";NA;NA;NA;NA;NA;NA;17
"arom";"2,4,5-trimethoxy-1-propenylbenzene";"636822";"2883-98-9";NA;NA;NA;NA;NA;NA;NA
"arom";"benzyl cyanide";"8794";"140-29-4";NA;NA;NA;NA;NA;0;NA
"arom";"iso-eugenol";"853433";"97-54-1";NA;NA;NA;NA;NA;NA;NA
"arom";"4-methylphenol";"2879";"106-44-5";NA;NA;NA;NA;NA;NA;28
"arom";"4-ethylphenol";"31242";"123-07-9";NA;NA;NA;NA;NA;NA;NA
"arom";"2-propylphenol";"12570";"644-35-9";NA;NA;NA;NA;NA;NA;NA
"arom";"3-phenyl-2E-propenal";"637511";"14371-10-9";NA;NA;NA;NA;NA;NA;NA
"arom";"benzonitrile";"7505";"100-47-0";NA;NA;NA;NA;NA;NA;NA
"arom";"methyl jasmonate";"62388";"39924-52-2";NA;NA;NA;NA;NA;NA;NA
"arom";"benzyl acetate";"8785";"140-11-4";NA;NA;NA;NA;NA;NA;NA
"arom";"4-propylphenol";"12580";"645-56-7";NA;NA;NA;NA;NA;NA;NA
"arom";"3-methylphenol";"342";"108-39-4";NA;NA;NA;NA;NA;NA;NA
"arom";"2-ethylphenol";"6997";"90-00-6";NA;NA;NA;NA;NA;NA;NA
"arom";"benzoic acid";"243";"65-85-0";NA;NA;NA;NA;NA;NA;NA
"arom";"4hydroxy-3-methoxybenzaldehyde";"1183";"121-33-5";NA;NA;NA;NA;NA;NA;NA
"alcohol";"methanol";"887";"67-56-1";19;NA;NA;NA;NA;NA;NA
"alcohol";"ethanol";"702";"64-17-5";26;NA;NA;NA;NA;NA;NA
"alcohol";"1-propanol";"1031";"71-23-8";10;NA;NA;NA;NA;NA;NA
"alcohol";"1-butanol";"263";"71-36-3";9;NA;NA;NA;NA;NA;6
"alcohol";"1-pentanol";"6276";"71-41-0";25;NA;NA;NA;NA;NA;NA
"alcohol";"1-hexanol";"8103";"111-27-3";24;12;0;14;10;0;9
"alcohol";"1-octanol";"957";"111-87-5";-4;NA;NA;NA;NA;NA;NA
"alcohol";"2-octanol";"20083";"123-96-6";NA;NA;NA;NA;NA;NA;NA
"alcohol";"2-pentanol";"22386";"6032-29-7";31;NA;NA;NA;NA;NA;NA
"alcohol";"3-methyl-butanol";"31260";"123-51-3";8;NA;NA;NA;NA;0;7
"alcohol";"3-methyl-2-buten-1-ol";"11173";"556-82-1";9;NA;NA;NA;NA;NA;NA
"alcohol";"1-penten-3-ol";"12020";"616-25-1";7;NA;NA;NA;NA;NA;NA
"alcohol";"1-octen-3-ol";"18827";"3391-86-4";8;9;0;13;7;NA;6
"alcohol";"E2-hexenol";"5318042";"928-95-0";6;NA;NA;NA;NA;NA;3
"alcohol";"Z2-hexenol";"5324489";"928-94-9";-1;NA;NA;NA;NA;NA;NA
"alcohol";"E3-hexenol";"5284503";"928-97-2";27;NA;NA;NA;NA;NA;NA
"alcohol";"Z3-hexenol";"5281167";"928-96-1";9;NA;NA;NA;NA;NA;NA
"alcohol";"glycerol";"753";"56-81-5";6;NA;NA;NA;NA;NA;NA
"alcohol";"2,3-butanediol";"262";"513-85-9";9;NA;NA;NA;NA;0;NA
"alcohol";"cyclohexanol";"7966";"108-93-0";NA;NA;NA;NA;NA;0;NA
"alcohol";"decanol";"8174";"112-30-1";NA;NA;NA;NA;NA;NA;NA
"alcohol";"4-methylcyclohexanol";"11524";"589-91-3";NA;NA;NA;NA;NA;NA;13
"alcohol";"1-heptanol";"8129";"111-70-6";NA;NA;NA;NA;NA;NA;NA
"alcohol";"3-octanol";"11527";"589-98-0";NA;NA;NA;NA;NA;NA;8
"alcohol";"1-nonanol";"8914";"143-08-8";NA;NA;NA;NA;NA;NA;NA
"alcohol";"4-octanol";"11515";"589-62-8";NA;NA;NA;NA;NA;NA;NA
"alcohol";"2-heptanol";"10976";"543-49-7";NA;NA;NA;NA;NA;NA;3
"alcohol";"2-hexanol";"12297";"626-93-7";NA;NA;NA;NA;NA;NA;NA
"alcohol";"3-hexanol";"12178";"623-37-0";NA;NA;NA;NA;NA;NA;NA
"alcohol";"1-hexen-3-ol";"20928";"4798-44-1";NA;NA;NA;NA;NA;NA;NA
"alcohol";"isobutyl alcohol";"6560";"78-83-1";NA;NA;NA;NA;NA;NA;NA
"ester";"methyl acetate";"6584";"79-20-9";23;NA;NA;NA;NA;NA;NA
"ester";"ethyl acetate";"8857";"141-78-6";20;30;0;15;5;NA;10
"ester";"propyl acetate";"7997";"109-60-4";81;NA;NA;NA;NA;NA;NA
"ester";"butyl acetate";"31272";"123-86-4";142;NA;NA;NA;NA;0;NA
"ester";"pentyl acetate";"12348";"628-63-7";13;19;15;15;9;NA;11
"ester";"hexyl acetate";"8908";"142-92-7";-5;NA;NA;NA;NA;0;NA
"ester";"isobutyl acetate";"8038";"110-19-0";226;NA;NA;NA;NA;NA;NA
"ester";"isopentyl acetate";"31276";"123-92-2";222;118;143;NA;NA;0;NA
"ester";"E2-hexenyl acetate";"2733294";"2497-18-9";10;NA;NA;NA;NA;NA;3
"ester";"methyl butyrate";"12180";"623-42-7";57;NA;NA;NA;NA;NA;NA
"ester";"ethyl butyrate";"7762";"105-54-4";43;29;0;15;9;0;10
"ester";"hexyl butyrate";"17525";"2639-63-6";13;NA;NA;NA;NA;0;NA
"ester";"ethyl 3-hydroxybutyrate";"62572";"5405-41-4";82;NA;NA;NA;NA;0;NA
"ester";"ethyl propionate";"7749";"105-37-3";52;NA;NA;NA;NA;NA;5
"ester";"ethyl methanoate";"8025";"109-94-4";17;NA;NA;NA;NA;NA;NA
"ester";"methyl hexanoate";"7824";"106-70-7";31;NA;NA;NA;NA;0;NA
"ester";"ethyl hexanoate";"31265";"123-66-0";0;NA;NA;NA;NA;0;NA
