"Class";"Name";"CID";"CAS";"Schmuker.2007.TR";"Bruyne.2001.WT";"Nissler.2007.EC50";"Nissler.2007.nmr";"Kreher.2008.EN"
"acid";"2-ethylhexanoic acid";"8697";"149-57-5";NA;NA;NA;NA;NA
"acid";"lactic acid";"612";"50-21-5";NA;NA;NA;NA;NA
"sulfid";"3-methylthio-1-propanol";"10448";"505-10-2";28;NA;NA;NA;NA
"sulfid";"dimethyl sulfide";"1068";"75-18-3";NA;NA;NA;NA;NA
"sulfid";"dipropyldisulphide";"12377";"629-19-6";18;NA;NA;NA;NA
"sulfid";"propanethiol";"7848";"107-03-9";13;NA;NA;NA;NA
"terpene";"terpinolene";"11463";"586-62-9";NA;NA;NA;NA;NA
"terpene";"alpha-pinene";"82227";"80-56-8";26;NA;NA;NA;NA
"terpene";"beta-pinene";"14896";"127-91-3";NA;NA;NA;NA;NA
"terpene";"3-carene";"443156";"13466-78-9";NA;NA;NA;NA;NA
"terpene";"limonene";"22311";"138-86-3";NA;NA;NA;NA;NA
"terpene";"alpha-humulene";"5281520";"6753-98-6";NA;NA;NA;NA;NA
"terpene";"beta-myrcene";"31253";"123-35-3";NA;NA;NA;NA;NA
"terpene";"(-)-trans-caryophyllene";"5281515";"87-44-5";NA;NA;NA;0.27;NA
"terpene";"p-cymene";"7463";"99-87-6";NA;NA;NA;NA;NA
"terpene";"geranyl acetate";"1549026";"105-87-3";40;60;NA;NA;-2
"terpene";"alpha-terpineol";"443162";"10482-56-1";NA;NA;NA;0.183667;NA
"terpene";"geraniol";"637566";"106-24-1";NA;NA;NA;0.2375;NA
"terpene";"nerol";"643820";"106-25-2";NA;NA;NA;NA;NA
"terpene";"linalool";"6549";"78-70-6";50;NA;NA;0.263167;NA
"terpene";"beta-citronellol";"8842";"106-22-9";67;NA;NA;0.1355;NA
"terpene";"linalool oxide";"22310";"60047-17-8";NA;NA;NA;NA;NA
"terpene";"(R)-(-)-carvone";"439570";"6485-40-1";NA;NA;NA;0.220571;NA
"terpene";"(S)-(+)-carvone";"16724";"2244-16-8";NA;NA;NA;0.284;NA
"terpene";"1,8-cineole";"2758";"470-82-6";NA;NA;NA;0.183333;NA
"terpene";"1,4-cineol";"10106";"470-67-7";8;NA;NA;NA;NA
"terpene";"citral";"638011";"5392-40-5";NA;NA;NA;0.179667;NA
"terpene";"(S)-(-)-citronellal";"443157";"5949-05-3";NA;NA;NA;0.128889;NA
"terpene";"(1R)-(-)-fenchone";"14525";"7787-20-4";NA;NA;NA;0.200571;-8
"terpene";"(R)-(+)-limonene";"440917";"5989-27-5";6;NA;NA;0.265;NA
"terpene";"(-)-menthone";"26447";"14073-97-3";NA;NA;NA;NA;NA
"terpene";"(1R)-(-)-myrtenal";"61130";"564-94-3";NA;NA;NA;0.154571;NA
"terpene";"(+)-alpha-pinene";"82227";"7785-70-8";NA;NA;NA;0.170571;NA
"terpene";"(R)-(+)-pulegon";"442495";"89-82-7";NA;NA;NA;0.232167;NA
"terpene";"(-)-alpha-thujone";"261491";"546-80-5";NA;NA;NA;0.111333;NA
"terpene";"alpha-bisabolol";"10586";"23089-26-1";NA;NA;NA;0.220667;NA
"terpene";"E,E-farnesol";"445070";"106-28-5";NA;NA;NA;0.240167;NA
"terpene";"alpha-ionone";"5282108";"127-41-3";NA;NA;NA;0.224167;NA
"terpene";"beta-ionone";"638014";"79-77-6";NA;NA;NA;0.1982;NA
"terpene";"L-limonen";"439250";"5989-54-8";NA;NA;NA;NA;NA
"aldehyde";"acetaldehyde";"177";"75-07-0";NA;NA;NA;0.1155;NA
"aldehyde";"propanal";"527";"123-38-6";NA;NA;NA;0.1356;NA
"aldehyde";"butanal";"261";"123-72-8";NA;NA;NA;0.178;NA
"aldehyde";"pentanal";"8063";"110-62-3";NA;NA;NA;0.253667;NA
"aldehyde";"hexanal";"6184";"66-25-1";NA;NA;NA;0.3851;NA
"aldehyde";"E2-hexenal";"5281168";"6728-26-3";99;115;NA;0.539;83
"O ring";"furfural";"7362";"98-01-1";NA;NA;NA;-0.129294;NA
"aldehyde";"2-propenal";"7847";"107-02-8";NA;NA;NA;NA;NA
"aldehyde";"octanal";"454";"124-13-0";NA;NA;NA;0.3026;NA
"aldehyde";"decanal";"8175";"112-31-2";NA;NA;NA;0.212333;NA
"aldehyde";"heptanal";"8130";"111-71-7";NA;NA;NA;0.4797;NA
"aldehyde";"E2-octenal";"5283324";"2548-87-0";85;NA;NA;NA;NA
"aldehyde";"nonanal";"31289";"124-19-6";5;NA;NA;0.318667;NA
"aldehyde";"E2-heptenal";"5283316";"18829-55-5";NA;NA;NA;NA;NA
"ketone";"acetone";"180";"67-64-1";49;NA;NA;0.1574;NA
"ketone";"2-butanone";"6569";"78-93-3";NA;NA;NA;0.3239;NA
"ketone";"2-pentanone";"7895";"107-87-9";NA;NA;NA;NA;NA
"ketone";"2-heptanone";"8051";"110-43-0";62;81;NA;0.4642;54
"ketone";"6-methyl-5-hepten-2-one";"9862";"110-93-0";NA;NA;NA;NA;NA
"ketone";"2,3-butanedione";"650";"431-03-8";56;75;NA;0.269364;3
"ketone";"3-hydroxy-2-butanone";"179";"513-86-0";NA;NA;NA;NA;NA
"ketone";"3-penten-2-one";"12248";"625-33-2";NA;NA;NA;0.3599;NA
