,InChlKey,Class,Name,CID,CAS,categories,valence
0,SFR,undefined,sfr,SFR,SFR,undefined,
1,XLYOFNOQVPJJNP-UHFFFAOYSA-N,undefined,water,962,7732-18-5,odourless,
2,VHUUQVKOLVNVRT-UHFFFAOYSA-N,amines,ammonium hydroxide,14923,1336-21-6,fruity,
3,KIDHWZJUCRJVML-UHFFFAOYSA-N,amines,putrescine,1045,110-60-1,unpleasant,attractive
4,VHRGRCVQAFMJIZ-UHFFFAOYSA-N,amines,cadaverine,273,462-94-2,unpleasant,attractive
5,QGZKDVFQNNGYKY-UHFFFAOYSA-N,amines,ammonia,222,7664-41-7,unpleasant,
6,HZAXFHJVJLSVMW-UHFFFAOYSA-N,amines,ethanolamine,700,141-43-5,unpleasant,
7,WJYIASZWHGOTOU-UHFFFAOYSA-N,amines,heptylamine,8127,111-68-2,undefined,
8,BMFVGAAISNGQNM-UHFFFAOYSA-N,amines,isoamylamine,7894,107-85-7,undefined,
9,ROSDSFDQCJNGOL-UHFFFAOYSA-N,amines,dimethylamine,674,124-40-3,unpleasant,
10,YEJRWHAVMIAJKC-UHFFFAOYSA-N,O rings,gamma-butyrolactone,7302,96-48-0,fermentation,attractive
11,JBFHTYHTHYHCDJ-UHFFFAOYSA-N,O rings,gamma-hexalactone,12756,695-06-7,undefined,attractive
12,IPBFYZQJXZJBFQ-UHFFFAOYSA-N,O rings,gamma-octalactone,7704,104-50-7,fruity,neutral
13,IFYYFLINQYPWGJ-UHFFFAOYSA-N,O rings,gamma-decalactone,12813,706-14-9,fruity,attractive
14,GHBSPIPJMLAMEP-UHFFFAOYSA-N,O rings,delta-decalactone,12810,705-86-2,undefined,attractive
15,BDAGIHXWWSANSR-UHFFFAOYSA-N,acids,methanoic acid,284,64-18-6,unpleasant,attractive
16,QTBSBXVTEAMEQO-UHFFFAOYSA-N,acids,acetic acid,176,64-19-7,fruity,attractive
17,XBDQKXXYIPTUBI-UHFFFAOYSA-N,acids,propanoic acid,1032,79-09-4,unpleasant,attractive
18,FERIUCNNQQJTOY-UHFFFAOYSA-N,acids,butyric acid,264,107-92-6,fermentation,attractive
19,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,acids,pentanoic acid,7991,109-52-4,fruity,attractive
20,FUZZWVXGSFPDMH-UHFFFAOYSA-N,acids,hexanoic acid,8892,142-62-1,fruity,
