"Class";"Name";"CID";"CAS";"Bruyne.2001.WT";"Bruyne.2001.RR";"Dobritsa.2003.EN";"Galizia.2009.nmr"
"aldehyde";"E2-octenal";"5283324";"2548-87-0";NA;0;NA;NA
"aldehyde";"nonanal";"31289";"124-19-6";NA;0;NA;0.0365657152424774
"aldehyde";"E2-heptenal";"5283316";"18829-55-5";NA;NA;NA;NA
"ketone";"acetone";"180";"67-64-1";NA;0;NA;0.028209619458115
"ketone";"2-butanone";"6569";"78-93-3";NA;NA;NA;0.213753300323434
"ketone";"2-pentanone";"7895";"107-87-9";NA;NA;NA;NA
"ketone";"2-heptanone";"8051";"110-43-0";17;0;22;0.0303896846889038
"ketone";"6-methyl-5-hepten-2-one";"9862";"110-93-0";NA;NA;NA;NA
"ketone";"2,3-butanedione";"650";"431-03-8";158;147;222;1.24280422381079
"ketone";"3-hydroxy-2-butanone";"179";"513-86-0";NA;NA;NA;NA
"ketone";"3-penten-2-one";"12248";"625-33-2";NA;NA;NA;0.341221358637177
"ketone";"2-hexanone";"11583";"591-78-6";NA;NA;NA;0.0486029686913646
"ketone";"3-hexanone";"11509";"589-38-8";NA;NA;NA;0.300248362931847
"ketone";"cyclohexanone";"7967";"108-94-1";NA;0;NA;0.0238544694565894
"ketone";"2-octanone";"8093";"111-13-7";NA;NA;NA;0.0330909648419433
"ketone";"2-methyl-3-heptanone";"25611";"13019-20-0";NA;NA;NA;NA
"ketone";"nonanone";"13187";"821-55-6";NA;NA;NA;0.0309302705347627
"ketone";"3-heptanone";"7802";"106-35-4";NA;NA;NA;NA
"ketone";"4-octanone";"11516";"589-63-9";NA;NA;NA;NA
"arom";"phenethyl alcohol";"6054";"60-12-8";NA;NA;NA;0.0523183504837105
"arom";"benzyl alcohol";"244";"100-51-6";NA;NA;NA;0.0248060253029373
"arom";"methyl salicylate";"4133";"119-36-8";13;0;28;0.0317350514575251
"arom";"methyl benzoate";"7150";"93-58-3";NA;NA;NA;NA
"arom";"ethyl benzoate";"7165";"93-89-0";NA;NA;NA;0.0772394494869685
"arom";"phenethyl acetate";"7654";"103-45-7";NA;NA;NA;NA
"arom";"benzaldehyde";"240";"100-52-7";NA;0;NA;0.0181780344351557
"arom";"phenylacetaldehyde";"998";"122-78-1";NA;30;NA;0.0496714676844844
"arom";"acetophenone";"7410";"98-86-2";NA;0;NA;NA
"arom";"ethyl cinnamate";"637758";"103-36-6";NA;NA;NA;NA
"arom";"2-methylphenol";"335";"95-48-7";NA;NA;NA;NA
"arom";"4-ethylguaiacol";"62465";"2785-89-9";NA;NA;NA;NA
"arom";"eugenol";"3314";"97-53-0";NA;NA;NA;0.0590707062501376
"arom";"salicyl aldehyde";"6998";"90-02-8";NA;NA;NA;NA
"arom";"2-hydroxy-anisole";"460";"90-05-1";NA;NA;NA;NA
"arom";"4-propenyl anisole";"637563";"104-46-1";NA;NA;NA;NA
"arom";"4-methoxybenzaldehyde";"31244";"123-11-5";NA;NA;NA;0.0334650661015482
"arom";"4-isopropylbenzaldehyde";"326";"122-03-2";NA;30;NA;0.0440540659946688
"arom";"4-methoxybenzene";"7519";"100-66-3";NA;NA;NA;0.0357576453528917
"arom";"4-allyl-1,2-dimethoxybenzene";"7127";"93-15-2";NA;0;NA;0.0488297475041481
"arom";"2,4,5-trimethoxy-1-propenylbenzene";"636822";"2883-98-9";NA;NA;NA;NA
"arom";"benzyl cyanide";"8794";"140-29-4";NA;NA;NA;NA
"arom";"iso-eugenol";"853433";"97-54-1";NA;NA;NA;0.0343804959185447
"arom";"4-methylphenol";"2879";"106-44-5";NA;0;NA;0.0356867954241341
"arom";"4-ethylphenol";"31242";"123-07-9";NA;NA;NA;NA
"arom";"2-propylphenol";"12570";"644-35-9";NA;NA;NA;0.0586035984879167
"arom";"3-phenyl-2E-propenal";"637511";"14371-10-9";NA;NA;NA;NA
"arom";"benzonitrile";"7505";"100-47-0";NA;NA;NA;0.034004634156147
"arom";"methyl jasmonate";"62388";"39924-52-2";NA;NA;NA;0.0554870442795264
"arom";"benzyl acetate";"8785";"140-11-4";NA;NA;NA;NA
"arom";"4-propylphenol";"12580";"645-56-7";NA;NA;NA;NA
"arom";"3-methylphenol";"342";"108-39-4";NA;NA;NA;NA
"arom";"2-ethylphenol";"6997";"90-00-6";NA;NA;NA;0.0247255311772459
"arom";"benzoic acid";"243";"65-85-0";NA;NA;NA;NA
"arom";"4hydroxy-3-methoxybenzaldehyde";"1183";"121-33-5";NA;NA;NA;0.0961714248178132
"alcohol";"methanol";"887";"67-56-1";NA;NA;NA;NA
"alcohol";"ethanol";"702";"64-17-5";NA;NA;NA;NA
"alcohol";"1-propanol";"1031";"71-23-8";NA;NA;NA;NA
"alcohol";"1-butanol";"263";"71-36-3";NA;0;NA;NA
"alcohol";"1-pentanol";"6276";"71-41-0";NA;NA;NA;NA
"alcohol";"1-hexanol";"8103";"111-27-3";25;0;33;NA
"alcohol";"1-octanol";"957";"111-87-5";NA;NA;NA;NA
"alcohol";"2-octanol";"20083";"123-96-6";NA;NA;NA;NA
"alcohol";"2-pentanol";"22386";"6032-29-7";NA;NA;NA;NA
"alcohol";"3-methyl-butanol";"31260";"123-51-3";NA;0;NA;0.0350391089402262
"alcohol";"3-methyl-2-buten-1-ol";"11173";"556-82-1";NA;NA;NA;NA
"alcohol";"1-penten-3-ol";"12020";"616-25-1";NA;NA;NA;NA
"alcohol";"1-octen-3-ol";"18827";"3391-86-4";8;0;30;NA
"alcohol";"E2-hexenol";"5318042";"928-95-0";NA;NA;NA;NA
"alcohol";"Z2-hexenol";"5324489";"928-94-9";NA;NA;NA;NA
"alcohol";"E3-hexenol";"5284503";"928-97-2";NA;NA;NA;NA
"alcohol";"Z3-hexenol";"5281167";"928-96-1";NA;NA;NA;0.0422915122702056
"alcohol";"glycerol";"753";"56-81-5";NA;NA;NA;NA
"alcohol";"2,3-butanediol";"262";"513-85-9";NA;NA;NA;0.71545805935506
