"ac1A";"ac1B";"ac2A";"ac2B";"ac3A";"ac3B";"ac4";"Or1a";"Or2a";"Or7a";"Or9a";"Or10a";"Or13a";"Or19a";"Or22a";"Or22b";"Or22c";"Or23a";"Or24a";"Or30a";"Or33a";"Or33b";"Or33c";"Or35a";"Or42a";"Or42b";"Or43a";"Or43b";"Or45a";"Or45b";"Or46a";"Or47a";"Or47b";"Or49a";"Or49b";"Or59a";"Or59b";"Or59c";"Or65a";"Or67a";"Or67b";"Or67c";"Or67d";"Or71a";"Or74a";"Or82a";"Or85a";"Or85b";"Or85c";"Or85d";"Or85e";"Or85f";"Or88a";"Or92a";"Or94a";"Or94b";"Or98a";"Gr21a.Gr63a";"ab2B";"ab4B";"ab5B";"pb2A";"Or69a";"ac1";"ac2";"ac3_noOr35a";"Ir31a";"Ir41a";"Ir75a";"Ir75d";"Ir76a";"Ir84a";"Ir92a";"Ir64a.DC4";"Ir64a.DP1m";"ac1BC";"ac2BC";"Or83c"
"YEJRWHAVMIAJKC-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;0.198362738017162;NA;0.299188109298803;0.155059679835985;0.347942643225063;0.0622754951994986;NA;0.0948486312042885;0.192862021226509;NA;NA;0.104405469225206;NA;NA;NA;0.274587685211447;NA;0.396636598573512;NA;NA;0.0799509795436784;0.143657943883832;NA;NA;NA;0.0602881402166567;0.865546668512542;NA;0.0785767381642375;NA;0.0693595992271613;NA;0.343752152144193;0.339312178203828;NA;0.0998669147078165;NA;NA;NA;0.018820940186068;0.0433744343042336;0.191987257764412;NA;NA;NA;0.357666280057745;0.281684738851106;NA;NA;NA;0.130130217982341;NA;NA;NA;NA;NA;NA;0.307891332470893;0.226530612244898;0.248679094162178;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"JBFHTYHTHYHCDJ-UHFFFAOYSA-N";0.159144211630461;0.236842105263158;0.0260877418805128;0.188405797101449;0.285150268387304;0.724328465626078;0.186815598984134;NA;0.362153964863615;0.0329987656211776;0.572845518978086;0.128436156232249;NA;0.120326375273445;0.445618391093336;NA;NA;0.229829542215013;NA;NA;NA;0.507761682051677;NA;0.735613952566223;NA;NA;0.236503426924552;0.22597981009072;NA;NA;NA;0.120720846846293;0.419141274955406;NA;0.0785767381642375;NA;0.0758419095671335;NA;0.498255206081482;0.155569227748149;NA;0.187627470731187;NA;NA;NA;0.0418009198565893;0.0561316208643023;0.215954460598124;NA;NA;NA;0.750362362609749;0.291347153399129;NA;NA;NA;0.110723890145738;NA;NA;NA;NA;NA;NA;0.393272962483829;0.226530612244898;0.109806353266416;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IPBFYZQJXZJBFQ-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.278703406471082;0.0492895205623369;0.236877181985472;0.128436156232249;NA;0.128387273155227;0.187468663755696;NA;NA;0.0963742792848059;NA;NA;NA;0.31482417861181;NA;0.219532229617045;NA;NA;0.130507388022119;0.205735103861173;NA;NA;NA;0.0971005556702322;0.485635180363206;NA;0.0749656451865636;NA;0.0161514894099055;NA;0.522668275265522;0.0892211472826091;NA;0.0845130530648105;NA;NA;NA;0.0910094414692626;0.0306172477441649;0.69962428229404;NA;NA;NA;0.432350727977235;0.107761276986709;NA;NA;NA;0.418498528552591;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"IFYYFLINQYPWGJ-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.198975143287488;0.0670236855038734;0.110239032604595;0.0674676023180549;NA;0.0725254260341789;0.113747908294974;NA;NA;0.0481871396424029;NA;NA;NA;0.405710328533573;NA;0.0614565509291226;NA;NA;0.0547033017930431;0.0104817997887754;NA;NA;NA;0.0379323370474796;0.617385582876549;NA;0.0803616664123345;NA;0.00889357977208682;NA;0.230184756352328;0.0339318065839733;NA;0.0318526995495627;NA;NA;NA;0.0169550086661556;0.0357201223681924;0.0560729099271739;NA;NA;NA;0.0678784362492215;0.329996811591217;NA;NA;NA;0.0528781926401609;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"GHBSPIPJMLAMEP-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.20876431337538;0.0611047212643264;0.105191556857596;0.058880889444466;NA;0.0730816370732227;0.0968914571791489;NA;NA;0.0562183295828034;NA;NA;NA;0.380010953917702;NA;0.032607049479963;NA;NA;0.0631191943765882;0.0104817997887754;NA;NA;NA;0.0447558028199043;0.608479095219381;NA;0.0731378481700436;NA;0.0206961903155233;NA;0.184634866112115;0.0213649411358726;NA;0.0285843256921005;NA;NA;NA;0.0225528032258928;0.0721950780770424;0.100125109694351;NA;NA;NA;0.103835239625348;0.25269749520704;NA;NA;NA;0.0490406912847452;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"BDAGIHXWWSANSR-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;NA;NA;0.189231670024888;0.0631506237324472;0.182773090968127;0.169487553149655;NA;0.110032388105966;0.165299633957645;NA;NA;0.00803118994040049;NA;NA;NA;0.0676698601747651;NA;0.094246241734889;NA;NA;0.092574818418996;0.0314453993663261;NA;NA;NA;0.042479450662387;0.47712053216429;NA;0.0856428281795633;NA;0.0973756554976797;NA;0.288273554907642;0.028935033880581;NA;0.0697515574021204;NA;NA;NA;0.0169550086661556;0.0408229969922199;0.0600781177791149;NA;NA;NA;0.201558657252402;0.262359909755062;NA;NA;NA;0.0337131314646647;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.202764976958525
"QTBSBXVTEAMEQO-UHFFFAOYSA-N";NA;NA;NA;NA;0.966814020848797;0.0142271629300523;0.237248613034542;NA;0.258452166730595;0.0719584156670864;0.159234217457666;0.021783576444499;0.0453593426618578;0.114192385041365;0.162452453827248;NA;NA;0.0642495195232039;NA;NA;NA;0.1379249988017;NA;0.0696719896875938;NA;0.0368008855489535;0.174403648138598;0.0446840106008341;NA;NA;NA;0.0493141670317731;0.403985931760306;NA;0.0891088419430284;NA;0.0943797635797423;NA;0.316313014819351;0.00803851363712656;0.186614882232406;0.0486203995747388;NA;NA;NA;0.0557471555706112;0.0721950780770424;0.112106067564089;NA;NA;NA;0.242980620865168;0.214047837014952;0.0113830594975824;NA;NA;0.0913813516502814;0.142120307979525;NA;0.0105925088580097;NA;NA;0.333585762968573;0.423027166882277;0.866326530612245;0.214768308594608;0.197081390100797;0.599952164553935;1;0.0828606574181644;0;0.373257866218891;0.0241859737006888;1;0.802428135888502;NA;NA;0.115207373271889
"XBDQKXXYIPTUBI-UHFFFAOYSA-N";0.244740309847719;0.263157894736842;0.276295542916122;0.536231884057971;0.91225358722128;0.0211884935273213;0.296238713501149;0.111111111111111;0.186425175743361;0.0398601083689185;0.210231649575361;0.261099098225551;0.125655715630886;0.121116821979814;0.173844740084209;NA;NA;0.0481871396424029;NA;0;0.533333333333333;0.242455839530267;NA;0.0469047933558479;0.23061904258392;0.182333704268827;0.130507388022119;0.027951466103401;0.0447219468139008;0.0295288219453012;NA;0.0124136150298362;0.530009714251362;0.151710037388376;0.0959302189964206;0.0780981843799136;0.0943797635797423;NA;0.370639014988039;0.160925650207486;0.126988217066336;0.0921128287788284;NA;NA;0.271308444723724;0.029233401204905;0.0484773089282611;0.168021387876404;0.142652665588346;NA;NA;0.282244433558539;0.194723007918907;0.0127928590485815;0.104591636201214;0.0330819438480402;0.0605600461885929;0.157660911513364;NA;0.0344601202287945;NA;NA;0.656948125709958;0.382923673997413;0.666326530612245;0.665297316849462;0;0.521836881128917;0.927057040042728;0.0236110161962687;0.0868612138649129;0.391254757010716;0.124373825923607;0.865362249435589;0.496189024390244;NA;NA;0.0783410138248848
"FERIUCNNQQJTOY-UHFFFAOYSA-N";0.159144211630461;0.157894736842105;0.14321046059215;0.536231884057971;0.761738263425924;0.0269100841487042;0.401946778800347;NA;0.319917836418007;0.138757423869182;0.634215885745474;0.209857618052608;0.442479471937085;0.131599137574107;0.307332535801208;NA;NA;0.0481871396424029;NA;NA;NA;0.020725217318679;NA;0.122780844100243;0.0570972903344113;0.0425474287658519;0.111363231535686;0.152279731581963;NA;NA;NA;0.0971005556702322;0.409768619029154;NA;0.101411318079048;NA;0.0964906599496253;NA;0.383889483215947;0.355952507979981;0.193058482007408;0.120109391556236;NA;0.067283376340009;NA;0.0579634410327491;0.0382715596802061;0.158810475313578;NA;NA;NA;0.339018296754061;0.243035080659018;0.0235650209128004;NA;NA;0.0926275259481622;NA;0.0238705388165932;0.0405866320749191;0.0107539940081296;NA;0.595607724346838;0.318240620957309;0.36530612244898;0.980034621297265;0.0579960884609599;0.623774216694571;0.348095117505311;0.0470511856762113;0.0386354295108919;0.57434378883194;0.0428929242329368;0.949750290757337;0.381478658536585;NA;NA;0.0783410138248848
"NQPDZGIKBAWPEJ-UHFFFAOYSA-N";NA;NA;NA;NA;NA;NA;0.583055144439102;NA;0.278703406471082;0.133201768064747;0.205712994224439;0.139082479707221;0.104141729168877;0.178671355746077;0.178664174361234;NA;NA;0.0883430893444054;NA;NA;NA;0.020725217318679;NA;0.219532229617045;NA;0.130502136306071;0.130507388022119;0.027951466103401;0.335495721531579;NA;NA;0.0870247552675779;0.491478397142426;NA;0.0838940250625835;NA;0.0943797635797423;NA;0.288273554907642;0.649497182041866;0.108027584788673;0.0661482101902575;NA;NA;NA;0.111765913496228;0.0561316208643023;0.124087338188897;NA;NA;NA;0.242980620865168;0.194723007918907;0.0189106952623046;NA;NA;0.00395465603270655;NA;NA;0.0233856638489755;NA;NA;0.657705414615676;0.344113842173351;0.285714285714286;0.442455011691147;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
