"Receptor";"Sensillum";"ORN";"Glomerulus";"Co-receptor";"Coexpress";"Related1";"Related2";"Related3";"Related4";"Ors";"Sensillium.Type";"Comment";"Code";"x";"y"
"Ir75b";"ac3";"ac3A";"DL2d/v";"Ir8a";;"Ir75a";"Ir75c";"ac3A";;"Ir75a+b+c";"antennal coeloconic";;"NA";"NA";"NA"
"Ir75c";"ac3";"ac3A";"DL2d/v";"Ir8a";;"Ir75a";"Ir75b";;;"Ir75a+b+c";"antennal coeloconic";;"NA";"NA";"NA"
"ac3A";"ac3";"ac3A";"DL2d";"Ir8a";"Ir75a+b+c";"Ir75a";"Ir75b";"Ir75c";;"Ir75a+b+c";"antennal coeloconic";"mapping to DL2d&v, separation  unclear";223;1048;153
"ac3A";"ac3";"ac3A";"DL2v";"Ir8a";"Ir75a+b+c";"Ir75a";"Ir75b";"Ir75c";;"Ir75a+b+c";"antennal coeloconic";"mapping to DL2d&v, separation unclear";222;1020;190
"ac3B";"ac3";"ac3B";"VC3";"Orco, Ir76b";"Or35a";"Or35a";;;;;"antennal coeloconic";;243;874;303
"ac4";"ac4";"?";"?";;;;;;;;"antennal coeloconic";;"NA";"NA";"NA"
"Gr21a.Gr63a";"ab1";"ab1C";"V";"?";"Gr21a+Gr63a";;;;;"Gr21a+Gr63a";"antennal basiconic";;157;1352;397
"Ir31a";"ac1";"?";"VL2p";"Ir8a";;;;;;"Ir31a";"antennal coeloconic";;89;1458;277
"Ir64a.DC4";"sacIII";"?";"DC4";"Ir8a";;;;;;"Ir64a";"sacculus";;100;1290;208
"Ir64a.DP1m";"sacIII";"?";"DP1m";"Ir8a";;;;;;"Ir64a";"sacculus";;91;1343;160
"Ir75d";"ac1, ac2, ac4";;"VL1";"Ir25a";;;;;;"Ir75d";"antennal coeloconic";;170;1400;342
"Ir76a";"ac4";"?";"VM4";"Ir25a, Ir76b";;;;;;"Ir76a";"antennal coeloconic";;237;889;353
"Ir84a";"ac4";"?";"VL2a";"Ir8a";;;;;;"Ir84a";"antennal coeloconic";;227;1063;264
"Ir92a";"ac1";"?";"VM1";"Ir25a, Ir76b";;;;;;"Ir92a";"antennal coeloconic";;163;1220;334
