"Class";"Name";"InChIKey";"CID";"CAS";"Kreher.2005.EN";"Kreher.2008.EN";"Galizia.2009.nmr"
"64";"terpene";"alpha-bisabolol";"RGZSQWQPBWRIAQ-CABCVRRESA-N";10586;"23089-26-1";NA;NA;0.217795501700755
"65";"terpene";"E,E-farnesol";"CRDAMVZIKSXKFV-YFVJMOTDSA-N";445070;"106-28-5";NA;NA;0.167916792872408
"66";"terpene";"alpha-ionone";"UZFLPKAIBPNNCA-BQYQJAHWSA-N";5282108;"127-41-3";NA;NA;0.163562367064444
"67";"terpene";"beta-ionone";"PSQYTAPXSHCGMF-BQYQJAHWSA-N";638014;"79-77-6";NA;NA;0.153036296837988
"68";"terpene";"L-limonen";"XMGQYMWWDOXHJM-SNVBAGLBSA-N";439250;"5989-54-8";NA;NA;NA
"69";"aldehyde";"acetaldehyde";"IKHGUXGNUITLKF-UHFFFAOYSA-N";177;"75-07-0";NA;NA;0.300998192663299
"70";"aldehyde";"propanal";"NBBJYMSMWIIQGU-UHFFFAOYSA-N";527;"123-38-6";NA;NA;0.264010756831657
"71";"aldehyde";"butanal";"ZTQSAGDEMFDKMZ-UHFFFAOYSA-N";261;"123-72-8";NA;NA;0.293780436549039
"72";"aldehyde";"pentanal";"HGBOYTHUEUWSSQ-UHFFFAOYSA-N";8063;"110-62-3";NA;NA;0.574003506644726
"73";"aldehyde";"hexanal";"JARKCYVAAOWBJS-UHFFFAOYSA-N";6184;"66-25-1";NA;NA;0.363082296855037
"74";"aldehyde";"E2-hexenal";"MBDOYVRWFFCFHM-SNAWJCMRSA-N";5281168;"6728-26-3";147;143;0.271686130689452
"75";"O ring";"furfural";"HYBBIBNJHNGZAN-UHFFFAOYSA-N";7362;"98-01-1";NA;NA;0.0130708313055258
"76";"aldehyde";"2-propenal";"HGINCPLSRVDWNT-UHFFFAOYSA-N";7847;"107-02-8";NA;NA;NA
"77";"aldehyde";"octanal";"NUJGJRNETVAIRJ-UHFFFAOYSA-N";454;"124-13-0";NA;NA;0.17301353500392
"78";"aldehyde";"decanal";"KSMVZQYAVGTKIV-UHFFFAOYSA-N";8175;"112-31-2";NA;NA;0.248515447627165
"79";"aldehyde";"heptanal";"FXHGMKSSBGDXIY-UHFFFAOYSA-N";8130;"111-71-7";NA;NA;0.282366226242595
"80";"aldehyde";"E2-octenal";"LVBXEMGDVWVTGY-VOTSOKGWSA-N";5283324;"2548-87-0";NA;NA;NA
"81";"aldehyde";"nonanal";"GYHFUZHODSMOHU-UHFFFAOYSA-N";31289;"124-19-6";NA;NA;0.232820836097203
"82";"aldehyde";"E2-heptenal";"NDFKTBCGKNOHPJ-AATRIKPKSA-N";5283316;"18829-55-5";NA;NA;NA
"83";"ketone";"acetone";"CSCPPACGZOOCGX-UHFFFAOYSA-N";180;"67-64-1";NA;NA;0.215020658876188
"84";"ketone";"2-butanone";"ZWEHNKRNPOVVGH-UHFFFAOYSA-N";6569;"78-93-3";NA;NA;0.241143279797298
"85";"ketone";"2-pentanone";"XNLICIUVMPYHGG-UHFFFAOYSA-N";7895;"107-87-9";NA;NA;NA
"86";"ketone";"2-heptanone";"CATSNJVOTSVZJV-UHFFFAOYSA-N";8051;"110-43-0";173;169;0.675126309391494
"87";"ketone";"6-methyl-5-hepten-2-one";"UHEPJGULSIKKTP-UHFFFAOYSA-N";9862;"110-93-0";NA;NA;NA
"88";"ketone";"2,3-butanedione";"QSJXEFYPDANLFS-UHFFFAOYSA-N";650;"431-03-8";53;51;0.299156043122567
"89";"ketone";"3-hydroxy-2-butanone";"ROWKJAVDOGWPAT-UHFFFAOYSA-N";179;"513-86-0";NA;NA;NA
"90";"ketone";"3-penten-2-one";"LABTWGUMFABVFG-ARJAWSKDSA-N";12248;"625-33-2";NA;NA;0.490110584835876
